,Column Name,Classes,Count,Percentage,Y Mean
0,MSZoning,RL,1151,78.84,74528.0
1,MSZoning,RM,218,14.93,214014.06
2,MSZoning,FV,65,4.45,131558.38
3,MSZoning,RH,16,1.1,191004.99
4,MSZoning,C (all),10,0.68,126316.83
5,Street,Pave,1454,99.59,130190.5
6,Street,Grvl,6,0.41,181130.54
7,LotShape,Reg,925,63.36,206101.67
8,LotShape,IR1,484,33.15,239833.37
9,LotShape,IR2,41,2.81,216036.5
10,LotShape,IR3,10,0.68,164754.82
11,LandContour,Lvl,1311,89.79,143104.08
12,LandContour,Bnk,63,4.32,231533.94
13,LandContour,HLS,50,3.42,203661.11
14,LandContour,Low,36,2.47,180183.75
15,Utilities,AllPub,1459,99.93,180950.96
16,Utilities,NoSeWa,1,0.07,137500.0
17,LotConfig,Inside,1052,72.05,181623.43
18,LotConfig,Corner,263,18.01,223854.62
19,LotConfig,CulDSac,94,6.44,177934.57
20,LotConfig,FR2,47,3.22,208475.0
21,LotConfig,FR3,4,0.27,176938.05
22,LandSlope,Gtl,1382,94.66,179956.8
23,LandSlope,Mod,65,4.45,196734.14
24,LandSlope,Sev,13,0.89,204379.23
25,Neighborhood,NAmes,225,15.41,194870.88
26,Neighborhood,CollgCr,150,10.27,137500.0
27,Neighborhood,OldTown,113,7.74,104493.75
28,Neighborhood,Edwards,100,6.85,124834.05
29,Neighborhood,Somerst,86,5.89,212565.43
30,Neighborhood,Gilbert,79,5.41,197965.77
31,Neighborhood,NridgHt,77,5.27,210624.73
32,Neighborhood,Sawyer,74,5.07,128219.7
33,Neighborhood,NWAmes,73,5.0,192854.51
34,Neighborhood,SawyerW,59,4.04,100123.78
35,Neighborhood,BrkSide,58,3.97,98576.47
36,Neighborhood,Crawfor,51,3.49,156270.12
37,Neighborhood,Mitchel,49,3.36,145847.08
38,Neighborhood,NoRidge,41,2.81,142694.44
39,Neighborhood,Timber,38,2.6,189050.07
40,Neighborhood,IDOTRR,37,2.53,335295.32
41,Neighborhood,ClearCr,28,1.92,316270.62
42,Neighborhood,StoneBr,25,1.71,128225.3
43,Neighborhood,SWISU,25,1.71,142591.36
44,Neighborhood,MeadowV,17,1.16,136793.14
45,Neighborhood,Blmngtn,17,1.16,186555.8
46,Neighborhood,BrDale,16,1.1,225379.84
47,Neighborhood,Veenker,11,0.75,310499.0
48,Neighborhood,NPkVill,9,0.62,242247.45
49,Neighborhood,Blueste,2,0.14,238772.73
50,Condition1,Norm,1260,86.3,135091.67
51,Condition1,Feedr,81,5.55,142475.48
52,Condition1,Artery,48,3.29,184495.49
